ticker,expiry_time,status,side,price,score,won,pnl_cents,product
KXBTC15M-26MAR300000-00,2026-03-30T00:00:00+00:00,rejected,,,,,,
KXETH15M-26MAR300000-00,2026-03-30T00:00:00+00:00,rejected,,,,,,
KXBTC15M-26MAR300015-00,2026-03-30T00:15:00+00:00,rejected,,,,,,
KXETH15M-26MAR300015-00,2026-03-30T00:15:00+00:00,rejected,,,,,,
KXBTC15M-26MAR300030-00,2026-03-30T00:30:00+00:00,rejected,,,,,,
KXETH15M-26MAR300030-00,2026-03-30T00:30:00+00:00,rejected,,,,,,
KXBTC15M-26MAR300045-00,2026-03-30T00:45:00+00:00,rejected,,,,,,
KXETH15M-26MAR300045-00,2026-03-30T00:45:00+00:00,rejected,,,,,,
KXBTC15M-26MAR300100-00,2026-03-30T01:00:00+00:00,rejected,,,,,,
KXETH15M-26MAR300100-00,2026-03-30T01:00:00+00:00,rejected,,,,,,
KXBTC15M-26MAR300115-00,2026-03-30T01:15:00+00:00,rejected,,,,,,
KXETH15M-26MAR300115-00,2026-03-30T01:15:00+00:00,rejected,,,,,,
KXBTC15M-26MAR300130-00,2026-03-30T01:30:00+00:00,rejected,,,,,,
KXETH15M-26MAR300130-00,2026-03-30T01:30:00+00:00,rejected,,,,,,
KXBTC15M-26MAR300145-00,2026-03-30T01:45:00+00:00,rejected,,,,,,
KXETH15M-26MAR300145-00,2026-03-30T01:45:00+00:00,rejected,,,,,,
KXBTC15M-26MAR300200-00,2026-03-30T02:00:00+00:00,rejected,,,,,,
KXETH15M-26MAR300200-00,2026-03-30T02:00:00+00:00,rejected,,,,,,
KXBTC15M-26MAR300215-00,2026-03-30T02:15:00+00:00,rejected,,,,,,
KXETH15M-26MAR300215-00,2026-03-30T02:15:00+00:00,rejected,,,,,,
KXBTC15M-26MAR300230-00,2026-03-30T02:30:00+00:00,rejected,,,,,,
KXETH15M-26MAR300230-00,2026-03-30T02:30:00+00:00,rejected,,,,,,
KXBTC15M-26MAR300245-00,2026-03-30T02:45:00+00:00,rejected,,,,,,
KXETH15M-26MAR300245-00,2026-03-30T02:45:00+00:00,rejected,,,,,,
KXBTC15M-26MAR300300-00,2026-03-30T03:00:00+00:00,rejected,,,,,,
KXETH15M-26MAR300300-00,2026-03-30T03:00:00+00:00,rejected,,,,,,
KXBTC15M-26MAR300315-00,2026-03-30T03:15:00+00:00,rejected,,,,,,
KXETH15M-26MAR300315-00,2026-03-30T03:15:00+00:00,rejected,,,,,,
KXBTC15M-26MAR300330-00,2026-03-30T03:30:00+00:00,rejected,,,,,,
KXETH15M-26MAR300330-00,2026-03-30T03:30:00+00:00,rejected,,,,,,
KXBTC15M-26MAR300345-00,2026-03-30T03:45:00+00:00,rejected,,,,,,
KXETH15M-26MAR300345-00,2026-03-30T03:45:00+00:00,rejected,,,,,,
KXBTC15M-26MAR300400-00,2026-03-30T04:00:00+00:00,rejected,,,,,,
KXETH15M-26MAR300400-00,2026-03-30T04:00:00+00:00,rejected,,,,,,
KXBTC15M-26MAR300415-00,2026-03-30T04:15:00+00:00,rejected,,,,,,
KXETH15M-26MAR300415-00,2026-03-30T04:15:00+00:00,rejected,,,,,,
KXBTC15M-26MAR300430-00,2026-03-30T04:30:00+00:00,rejected,,,,,,
KXETH15M-26MAR300430-00,2026-03-30T04:30:00+00:00,rejected,,,,,,
KXBTC15M-26MAR300445-00,2026-03-30T04:45:00+00:00,rejected,,,,,,
KXETH15M-26MAR300445-00,2026-03-30T04:45:00+00:00,rejected,,,,,,
KXBTC15M-26MAR300500-00,2026-03-30T05:00:00+00:00,rejected,,,,,,
KXETH15M-26MAR300500-00,2026-03-30T05:00:00+00:00,rejected,,,,,,
KXBTC15M-26MAR300515-00,2026-03-30T05:15:00+00:00,rejected,,,,,,
KXETH15M-26MAR300515-00,2026-03-30T05:15:00+00:00,rejected,,,,,,
KXBTC15M-26MAR300530-00,2026-03-30T05:30:00+00:00,rejected,,,,,,
KXETH15M-26MAR300530-00,2026-03-30T05:30:00+00:00,rejected,,,,,,
KXBTC15M-26MAR300545-00,2026-03-30T05:45:00+00:00,rejected,,,,,,
KXETH15M-26MAR300545-00,2026-03-30T05:45:00+00:00,rejected,,,,,,
KXBTC15M-26MAR300600-00,2026-03-30T06:00:00+00:00,rejected,,,,,,
KXETH15M-26MAR300600-00,2026-03-30T06:00:00+00:00,rejected,,,,,,
KXBTC15M-26MAR300615-00,2026-03-30T06:15:00+00:00,rejected,,,,,,
KXETH15M-26MAR300615-00,2026-03-30T06:15:00+00:00,rejected,,,,,,
KXBTC15M-26MAR300630-00,2026-03-30T06:30:00+00:00,rejected,,,,,,
KXETH15M-26MAR300630-00,2026-03-30T06:30:00+00:00,rejected,,,,,,
KXBTC15M-26MAR300645-00,2026-03-30T06:45:00+00:00,rejected,,,,,,
KXETH15M-26MAR300645-00,2026-03-30T06:45:00+00:00,rejected,,,,,,
KXBTC15M-26MAR300700-00,2026-03-30T07:00:00+00:00,rejected,,,,,,
KXETH15M-26MAR300700-00,2026-03-30T07:00:00+00:00,rejected,,,,,,
KXBTC15M-26MAR300715-00,2026-03-30T07:15:00+00:00,rejected,,,,,,
KXETH15M-26MAR300715-00,2026-03-30T07:15:00+00:00,rejected,,,,,,
KXBTC15M-26MAR300730-00,2026-03-30T07:30:00+00:00,rejected,,,,,,
KXETH15M-26MAR300730-00,2026-03-30T07:30:00+00:00,rejected,,,,,,
KXBTC15M-26MAR300745-00,2026-03-30T07:45:00+00:00,rejected,,,,,,
KXETH15M-26MAR300745-00,2026-03-30T07:45:00+00:00,rejected,,,,,,
KXBTC15M-26MAR300800-00,2026-03-30T08:00:00+00:00,rejected,,,,,,
KXETH15M-26MAR300800-00,2026-03-30T08:00:00+00:00,rejected,,,,,,
