ts_utc,ticker,side,price,edge_cents,spread_cents,score,reason,status_bt,product,expiry_time,strike,spot_at_expiry,yes_outcome,predicted_side_won,pnl_cents
2026-04-13T01:53:07.725299+00:00,KXBTC15M-26APR122200-00,yes,57,12,6,7.84,"asset=KXBTC15M, spot=71196.98, strike=71163.48, secs_left=413, sigma=0.26, d2=0.51, fair=69.5, market=57.0, conf=0.70",resolved,BTC-USD,2026-04-12T22:00:00+00:00,71340.48,70942.4,0,False,-57
2026-04-13T02:54:52.669113+00:00,KXBTC15M-26APR122300-00,yes,23,12,2,6.22,"asset=KXBTC15M, spot=71057.57, strike=71081.90, secs_left=307, sigma=0.28, d2=0.39, fair=34.9, market=23.0, conf=0.55, momentum_boost=0.00",resolved,BTC-USD,2026-04-12T23:00:00+00:00,70810.01,70782.97,0,False,-23
2026-04-13T02:56:48.054933+00:00,KXBTC15M-26APR122300-00,yes,20,41,9,20.95,"asset=KXBTC15M, spot=71093.02, strike=71081.90, secs_left=192, sigma=0.25, d2=0.25, fair=60.0, market=19.5, conf=0.55, momentum_boost=0.00",resolved,BTC-USD,2026-04-12T23:00:00+00:00,70810.01,70782.97,0,False,-20
2026-04-13T02:57:54.146274+00:00,KXBTC15M-26APR122300-00,yes,16,41,3,22.28,"asset=KXBTC15M, spot=71088.01, strike=71081.90, secs_left=126, sigma=0.22, d2=0.20, fair=57.8, market=16.5, conf=0.55, momentum_boost=0.00",resolved,BTC-USD,2026-04-12T23:00:00+00:00,70810.01,70782.97,0,False,-16
2026-04-13T02:59:00.620544+00:00,KXBTC15M-26APR122300-00,yes,16,27,3,14.28,"asset=KXBTC15M, spot=71078.27, strike=71081.90, secs_left=60, sigma=0.22, d2=0.17, fair=43.3, market=16.5, conf=0.55, momentum_boost=0.00",resolved,BTC-USD,2026-04-12T23:00:00+00:00,70810.01,70782.97,0,False,-16
2026-04-13T03:02:01.756950+00:00,KXBTC15M-26APR122315-15,no,40,14,5,9.18,"asset=KXBTC15M, spot=71014.91, strike=71073.58, secs_left=779, sigma=0.26, d2=0.63, fair=26.3, market=40.5, conf=0.70, momentum_boost=0.00",resolved,BTC-USD,2026-04-12T23:15:00+00:00,70782.97,70650.38,0,True,40
2026-04-13T03:05:20.126108+00:00,KXBTC15M-26APR122315-15,yes,31,33,2,17.95,"asset=KXBTC15M, spot=71100.37, strike=71073.58, secs_left=580, sigma=0.24, d2=0.36, fair=64.2, market=31.0, conf=0.55, momentum_boost=0.00",resolved,BTC-USD,2026-04-12T23:15:00+00:00,70782.97,70650.38,0,False,-31
2026-04-13T03:08:13.474888+00:00,KXBTC15M-26APR122315-15,yes,31,19,1,10.29,"asset=KXBTC15M, spot=71073.52, strike=71073.58, secs_left=407, sigma=0.34, d2=0.00, fair=50.0, market=31.0, conf=0.55, momentum_boost=0.00",resolved,BTC-USD,2026-04-12T23:15:00+00:00,70782.97,70650.38,0,False,-31
2026-04-13T03:21:26.869608+00:00,KXBTC15M-26APR122330-30,no,76,13,1,6.88,"asset=KXBTC15M, spot=71092.07, strike=71056.00, secs_left=514, sigma=0.36, d2=0.35, fair=63.7, market=76.5, conf=0.55, momentum_boost=0.00",resolved,BTC-USD,2026-04-12T23:30:00+00:00,70650.38,70644.95,0,True,76
2026-04-13T03:22:41.307617+00:00,KXBTC15M-26APR122330-30,no,78,11,1,6.13,"asset=KXBTC15M, spot=71095.41, strike=71056.00, secs_left=439, sigma=0.36, d2=0.41, fair=66.1, market=77.5, conf=0.55, momentum_boost=0.00",resolved,BTC-USD,2026-04-12T23:30:00+00:00,70650.38,70644.95,0,True,78
