ts_utc,ticker,side,price,edge_cents,spread_cents,score,reason,status,status_reason,order_id,filled_count
2026-04-13T05:39:11.950913+00:00,KXBTC15M-26APR130145-45,no,13,9,8,6.77,"asset=KXBTC15M, spot=70770.01, strike=70877.67, secs_left=349, sigma=0.26, d2=1.78, fair=3.7, market=13.0, conf=0.85, momentum_boost=0.01",dry_run,,,
2026-04-13T05:39:20.778133+00:00,KXBTC15M-26APR130145-45,no,13,9,8,6.93,"asset=KXBTC15M, spot=70770.01, strike=70877.67, secs_left=340, sigma=0.26, d2=1.81, fair=3.5, market=13.0, conf=0.85, momentum_boost=0.01",cooldown,cooldown_active_51s,,
2026-04-13T05:39:29.598664+00:00,KXBTC15M-26APR130145-45,no,13,10,8,7.08,"asset=KXBTC15M, spot=70770.01, strike=70877.67, secs_left=331, sigma=0.26, d2=1.83, fair=3.4, market=13.0, conf=0.85, momentum_boost=0.01",cooldown,cooldown_active_42s,,
2026-04-13T05:39:38.129854+00:00,KXBTC15M-26APR130145-45,no,13,11,8,9.8,"asset=KXBTC15M, spot=70720.66, strike=70877.67, secs_left=322, sigma=0.26, d2=2.70, fair=2.0, market=13.0, conf=0.98, momentum_boost=0.02",cooldown,cooldown_active_33s,,
2026-04-13T05:39:46.751792+00:00,KXBTC15M-26APR130145-45,no,13,11,8,9.8,"asset=KXBTC15M, spot=70720.66, strike=70877.67, secs_left=314, sigma=0.26, d2=2.74, fair=2.0, market=13.0, conf=0.98, momentum_boost=0.02",cooldown,cooldown_active_25s,,
2026-04-13T05:39:55.253443+00:00,KXBTC15M-26APR130145-45,no,13,11,8,9.8,"asset=KXBTC15M, spot=70720.66, strike=70877.67, secs_left=305, sigma=0.26, d2=2.78, fair=2.0, market=13.0, conf=0.98, momentum_boost=0.02",cooldown,cooldown_active_16s,,
2026-04-13T05:40:03.830676+00:00,KXBTC15M-26APR130145-45,no,13,11,8,9.8,"asset=KXBTC15M, spot=70728.76, strike=70877.67, secs_left=297, sigma=0.26, d2=2.67, fair=2.0, market=13.0, conf=0.98, momentum_boost=0.02",cooldown,cooldown_active_8s,,
2026-04-13T05:40:13.202265+00:00,KXBTC15M-26APR130145-45,no,13,11,8,9.8,"asset=KXBTC15M, spot=70728.76, strike=70877.67, secs_left=288, sigma=0.24, d2=2.87, fair=2.0, market=13.0, conf=0.98, momentum_boost=0.02",dry_run,,,
2026-04-13T05:40:21.679038+00:00,KXBTC15M-26APR130145-45,no,13,11,8,9.8,"asset=KXBTC15M, spot=70728.76, strike=70877.67, secs_left=279, sigma=0.24, d2=2.92, fair=2.0, market=13.0, conf=0.98, momentum_boost=0.02",cooldown,cooldown_active_51s,,
2026-04-13T05:40:30.227942+00:00,KXBTC15M-26APR130145-45,no,13,11,8,9.8,"asset=KXBTC15M, spot=70733.27, strike=70877.67, secs_left=270, sigma=0.24, d2=2.87, fair=2.0, market=13.0, conf=0.98, momentum_boost=0.02",cooldown,cooldown_active_42s,,
2026-04-13T05:40:38.602646+00:00,KXBTC15M-26APR130145-45,no,13,11,8,9.8,"asset=KXBTC15M, spot=70733.27, strike=70877.67, secs_left=262, sigma=0.24, d2=2.92, fair=2.0, market=13.0, conf=0.98, momentum_boost=0.02",cooldown,cooldown_active_34s,,
2026-04-13T05:40:47.470472+00:00,KXBTC15M-26APR130145-45,no,13,11,8,9.8,"asset=KXBTC15M, spot=70733.27, strike=70877.67, secs_left=253, sigma=0.24, d2=2.97, fair=2.0, market=13.0, conf=0.98, momentum_boost=0.02",cooldown,cooldown_active_25s,,
2026-04-13T05:40:56.233937+00:00,KXBTC15M-26APR130145-45,no,13,11,8,9.8,"asset=KXBTC15M, spot=70741.60, strike=70877.67, secs_left=244, sigma=0.24, d2=2.85, fair=2.0, market=13.0, conf=0.99, momentum_boost=0.01",cooldown,cooldown_active_16s,,
2026-04-13T05:41:04.687568+00:00,KXBTC15M-26APR130145-45,no,13,11,8,9.8,"asset=KXBTC15M, spot=70741.60, strike=70877.67, secs_left=236, sigma=0.24, d2=2.90, fair=2.0, market=13.0, conf=0.99, momentum_boost=0.01",cooldown,cooldown_active_8s,,
2026-04-13T05:41:13.325659+00:00,KXBTC15M-26APR130145-45,no,13,11,8,9.8,"asset=KXBTC15M, spot=70741.60, strike=70877.67, secs_left=227, sigma=0.23, d2=3.17, fair=2.0, market=13.0, conf=0.99, momentum_boost=0.01",dry_run,,,
