ts_utc,ticker,side,price,edge_cents,spread_cents,score,reason,status,status_reason
2026-04-11T20:16:10.213002+00:00,KXBTC15M-26APR111630-30,yes,30,15,1,14.38,"asset=KXBTC15M, spot_now=73501.5650, spot_5m=73600.0100, secs_left=831, sigma=0.43, fair=44.0, market=29.5, conf=1.00",dry_run,
2026-04-11T20:16:12.898192+00:00,KXBTC15M-26APR111630-30,yes,30,15,1,14.37,"asset=KXBTC15M, spot_now=73500.0150, spot_5m=73600.0100, secs_left=828, sigma=0.44, fair=44.0, market=29.5, conf=1.00",cooldown,cooldown_active_57s
2026-04-11T20:16:15.878509+00:00,KXBTC15M-26APR111630-30,yes,29,15,2,14.71,"asset=KXBTC15M, spot_now=73500.0150, spot_5m=73600.0100, secs_left=825, sigma=0.44, fair=44.0, market=29.0, conf=1.00",cooldown,cooldown_active_54s
2026-04-11T20:16:18.789665+00:00,KXBTC15M-26APR111630-30,yes,29,15,2,14.7,"asset=KXBTC15M, spot_now=73500.0050, spot_5m=73600.0100, secs_left=822, sigma=0.44, fair=44.0, market=29.0, conf=1.00",cooldown,cooldown_active_51s
2026-04-11T20:16:21.399719+00:00,KXBTC15M-26APR111630-30,yes,29,15,2,14.69,"asset=KXBTC15M, spot_now=73500.0050, spot_5m=73600.0100, secs_left=819, sigma=0.44, fair=44.0, market=29.0, conf=1.00",cooldown,cooldown_active_48s
2026-04-11T20:16:24.100166+00:00,KXBTC15M-26APR111630-30,yes,29,15,2,14.68,"asset=KXBTC15M, spot_now=73500.0050, spot_5m=73600.0100, secs_left=816, sigma=0.44, fair=44.0, market=29.0, conf=1.00",cooldown,cooldown_active_46s
2026-04-11T20:16:27.035016+00:00,KXBTC15M-26APR111630-30,yes,29,15,2,14.67,"asset=KXBTC15M, spot_now=73500.0050, spot_5m=73600.0100, secs_left=814, sigma=0.44, fair=44.0, market=29.0, conf=1.00",cooldown,cooldown_active_43s
2026-04-11T20:16:30.106314+00:00,KXBTC15M-26APR111630-30,yes,29,15,2,14.66,"asset=KXBTC15M, spot_now=73499.0050, spot_5m=73600.0100, secs_left=811, sigma=0.45, fair=44.0, market=29.0, conf=1.00",cooldown,cooldown_active_40s
2026-04-11T20:16:37.986231+00:00,KXBTC15M-26APR111630-30,yes,33,11,4,10.33,"asset=KXBTC15M, spot_now=73509.7350, spot_5m=73600.0100, secs_left=803, sigma=0.40, fair=43.9, market=33.0, conf=1.00",cooldown,cooldown_active_32s
2026-04-11T20:16:41.000109+00:00,KXBTC15M-26APR111630-30,yes,33,11,4,10.32,"asset=KXBTC15M, spot_now=73507.0850, spot_5m=73600.0100, secs_left=800, sigma=0.41, fair=43.9, market=33.0, conf=1.00",cooldown,cooldown_active_29s
