ts_utc,ticker,side,price,edge_cents,spread_cents,score,reason,status,status_reason
2026-04-10T13:24:37.861466+00:00,KXBTC15M-26APR100930-30,no,72,21,13,18.75,"asset=KXBTC15M, spot_now=72296.4000, spot_5m=72234.7000, secs_left=1370693, sigma=0.28, fair=50.1, market=71.5, conf=1.00",dry_run,
2026-04-10T13:24:40.418180+00:00,KXBTC15M-26APR100930-30,no,72,21,13,18.75,"asset=KXBTC15M, spot_now=72296.4000, spot_5m=72234.7000, secs_left=1370690, sigma=0.28, fair=50.1, market=71.5, conf=1.00",cooldown,cooldown_active_57s
2026-04-10T13:24:43.904791+00:00,KXBTC15M-26APR100930-30,no,72,21,13,18.75,"asset=KXBTC15M, spot_now=72296.4000, spot_5m=72234.7000, secs_left=1370687, sigma=0.28, fair=50.1, market=71.5, conf=1.00",cooldown,cooldown_active_53s
2026-04-10T13:24:46.577187+00:00,KXBTC15M-26APR100930-30,no,72,21,13,18.75,"asset=KXBTC15M, spot_now=72299.9700, spot_5m=72234.7000, secs_left=1370684, sigma=0.29, fair=50.1, market=71.5, conf=1.00",cooldown,cooldown_active_51s
2026-04-10T13:24:49.829733+00:00,KXBTC15M-26APR100930-30,no,70,20,6,18.65,"asset=KXBTC15M, spot_now=72299.9700, spot_5m=72234.7000, secs_left=1370681, sigma=0.29, fair=50.1, market=70.0, conf=1.00",cooldown,cooldown_active_48s
2026-04-10T13:24:52.326761+00:00,KXBTC15M-26APR100930-30,no,70,20,6,18.65,"asset=KXBTC15M, spot_now=72294.2100, spot_5m=72234.7000, secs_left=1370678, sigma=0.27, fair=50.1, market=70.0, conf=1.00",cooldown,cooldown_active_45s
2026-04-10T13:24:55.756345+00:00,KXBTC15M-26APR100930-30,no,70,20,6,18.65,"asset=KXBTC15M, spot_now=72294.2100, spot_5m=72234.7000, secs_left=1370675, sigma=0.27, fair=50.1, market=70.0, conf=1.00",cooldown,cooldown_active_42s
2026-04-10T13:24:58.493343+00:00,KXBTC15M-26APR100930-30,no,70,20,6,18.65,"asset=KXBTC15M, spot_now=72294.2100, spot_5m=72234.7000, secs_left=1370672, sigma=0.27, fair=50.1, market=70.0, conf=1.00",cooldown,cooldown_active_39s
2026-04-10T13:25:02.129038+00:00,KXBTC15M-26APR100930-30,no,70,20,6,18.69,"asset=KXBTC15M, spot_now=72267.8450, spot_5m=72234.7000, secs_left=1370669, sigma=0.20, fair=50.1, market=70.0, conf=1.00",cooldown,cooldown_active_35s
2026-04-10T13:25:04.612230+00:00,KXBTC15M-26APR100930-30,no,70,20,6,18.68,"asset=KXBTC15M, spot_now=72268.5050, spot_5m=72231.9400, secs_left=1370665, sigma=0.20, fair=50.1, market=70.0, conf=1.00",cooldown,cooldown_active_33s
2026-04-10T13:25:08.043320+00:00,KXBTC15M-26APR100930-30,no,66,16,2,15.48,"asset=KXBTC15M, spot_now=72268.5050, spot_5m=72231.9400, secs_left=1370663, sigma=0.20, fair=50.1, market=66.0, conf=1.00",cooldown,cooldown_active_29s
2026-04-10T13:25:10.661972+00:00,KXBTC15M-26APR100930-30,no,66,16,2,15.51,"asset=KXBTC15M, spot_now=72259.7050, spot_5m=72231.9400, secs_left=1370659, sigma=0.20, fair=50.1, market=66.0, conf=1.00",cooldown,cooldown_active_27s
2026-04-10T13:25:14.276544+00:00,KXBTC15M-26APR100930-30,no,66,16,2,15.47,"asset=KXBTC15M, spot_now=72270.6650, spot_5m=72231.9400, secs_left=1370657, sigma=0.20, fair=50.1, market=66.0, conf=1.00",cooldown,cooldown_active_23s
2026-04-10T13:25:16.895175+00:00,KXBTC15M-26APR100930-30,no,66,16,2,15.51,"asset=KXBTC15M, spot_now=72259.7050, spot_5m=72231.9400, secs_left=1370653, sigma=0.20, fair=50.1, market=66.0, conf=1.00",cooldown,cooldown_active_20s
